Date,CONS
1/2/97,0.2
2/3/97,0.2
3/3/97,0.1
4/1/97,0.1
5/1/97,0
6/2/97,0.2
7/1/97,0.1
8/1/97,0.2
9/2/97,0.2
10/1/97,0.2
11/3/97,0.1
12/1/97,0.1
1/2/98,0.1
2/2/98,0
3/2/98,0
4/1/98,0.1
5/1/98,0.2
6/1/98,0.1
7/1/98,0.2
8/3/98,0.1
9/1/98,0.1
10/1/98,0.2
11/2/98,0.1
12/1/98,0.2
1/4/99,0.2
2/1/99,0
3/1/99,0.1
4/1/99,0.7
5/3/99,0.1
6/1/99,0
7/1/99,0.4
8/2/99,0.2
9/1/99,0.4
10/1/99,0.2
11/1/99,0.2
12/1/99,0.2
1/3/00,0.3
2/1/00,0.4
3/1/00,0.6
4/3/00,-0.1
5/1/00,0.2
6/1/00,0.6
7/3/00,0.3
8/1/00,0
9/1/00,0.5
10/2/00,0.2
11/1/00,0.2
12/1/00,0.2
1/2/01,0.6
2/1/01,0.2
3/1/01,0.1
4/2/01,0.2
5/1/01,0.5
6/1/01,0.2
7/2/01,-0.2
8/1/01,0
9/4/01,0.4
10/1/01,-0.3
11/1/01,-0.1
12/3/01,-0.1
